date,numbers
19/01/2019,"8,10,11,14,15,21,22,31"
26/01/2019,"1,10,13,14,19,24,33,2"
2/2/2019,"2,8,21,23,29,30,33,18"
9/2/2019,"3,9,15,17,24,28,31,12"
16/02/2019,"2,6,11,18,21,30,34,35"
23/02/2019,"14,15,21,25,26,29,33,30"
2/3/2019,"1,17,21,25,27,32,36,30"
9/3/2019,"1,6,10,12,22,26,39,21"
16/03/2019,"1,10,14,16,19,23,27,22"
23/03/2019,"6,11,12,15,22,26,34,36"
30/03/2019,"7,12,16,19,24,35,36,1"
6/4/2019,"6,11,23,25,28,30,33,24"
13/04/2019,"6,8,14,25,33,34,36,31"
20/04/2019,"12,20,21,24,25,26,28,30"
27/07/2019,"4,5,7,15,23,29,36,30"
4/5/2019,"9,11,17,18,22,28,36,12"
11/5/2019,"10,11,18,20,26,30,34,21"
18/05/2019,"4,11,17,18,21,22,35,8"
25/05/2019,"13,22,26,30,32,34,35,17"
1/6/2019,"18,24,26,28,32,34,36,31"
8/6/2019,"3,4,9,14,18,24,31,12"
15/06/2019,"3,4,6,7,8,9,23,33"
22/06/2019,"4,6,15,16,23,35,36,26"
29/06/2019,"1,4,14,24,27,32,34,8"
6/7/2019,"6,11,14,25,31,35,36,18"
13/07/2019,"3,7,8,10,14,23,26,15"
20/07/2019,"1,3,20,24,26,27,31,16"
27/07/2019,"6,7,10,13,14,15,21,35"
3/8/2019,"1,2,3,6,12,26,27,17"
10/8/2019,"3,7,22,23,26,30,33,36"
17/08/2019,"3,8,10,22,28,29,24,25"
24/08/2019,"2,7,15,16,20,28,35,31"
31/08/2019,"3,7,10,13,18,21,24,1"
7/9/2019,"1,9,15,18,24,25,31,33"
14/09/2019,"7,13,18,19,24,30,34,12"
21/09/2019,"1,5,6,10,11,21,29,18"
28/09/2019,"4,7,10,11,14,25,35,23"
5/10/2019,"7,8,10,14,20,26,29,5"
12/10/2019,"5,7,13,15,24,26,30,1"
19/10/2019,"2,4,13,20,25,27,33,29"
26/10/2019,"5,17,18,27,30,32,35,14"
2/11/2019,"6,7,8,9,15,28,36,24"
9/11/2019,"4,5,9,11,17,18,23,25"
16/11/2019,"1,2,9,23,25,34,35,32"
23/11/2019,"7,8,9,10,12,27,29,13"
30/11/2019,"3,7,19,20,24,33,35,34"
7/12/2019,"1,10,13,19,23,34,36,5"
14/12/2019,"9,13,15,22,26,31,36,35"
